Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | 0.00259    |
|    value_loss           | 618        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.08        |
|    ep_rew_mean          | 3.09        |
| time/                   |             |
|    fps                  | 341         |
|    iterations           | 13          |
|    time_elapsed         | 77          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.028208602 |
|    clip_fraction        | 0.352       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.0424      |
|    learning_rate        | 0.0003      |
|    loss                 | 517         |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.0388      |
|    value_loss           | 1.03e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.6         |
|    ep_rew_mean          | -1.28       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 14          |
|    time_elapsed         | 85          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.023618203 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.00694     |
|    learning_rate        | 0.0003      |
|    loss                 | 398         |
|    n_updates            | 130         |
|    policy_gradient_loss | 0.00983     |
|    value_loss           | 825         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.56        |
|    ep_rew_mean          | -2.34       |
| time/                   |             |
|    fps                  | 317         |
|    iterations           | 15          |
|    time_elapsed         | 96          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.009792342 |
|    clip_fraction        | 0.0535      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.00414     |
|    learning_rate        | 0.0003      |
|    loss                 | 344         |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.00228     |
|    value_loss           | 682         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.55       |
|    ep_rew_mean          | 4.34       |
| time/                   |            |
|    fps                  | 296        |
|    iterations           | 16         |
|    time_elapsed         | 110        |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.03833347 |
|    clip_fraction        | 0.121      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.54      |
|    explained_variance   | 0.027      |
|    learning_rate        | 0.0003     |
|    loss                 | 389        |
|    n_updates            | 150        |
|    policy_gradient_loss | 0.00816    |
|    value_loss           | 735        |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 8.35      |
|    ep_rew_mean          | 0.73      |
| time/                   |           |
|    fps                  | 295       |
|    iterations           | 17        |
|    time_elapsed         | 117       |
|    total_timesteps      | 34816     |
| train/                  |           |
|    approx_kl            | 0.0782409 |
|    clip_fraction        | 0.277     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.53     |
|    explained_variance   | 0.0011    |
|    learning_rate        | 0.0003    |
|    loss                 | 451       |
|    n_updates            | 160       |
|    policy_gradient_loss | 0.0293    |
|    value_loss           | 955       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.95        |
|    ep_rew_mean          | 10.9        |
| time/                   |             |
|    fps                  | 295         |
|    iterations           | 18          |
|    time_elapsed         | 124         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.032008618 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | -0.0192     |
|    learning_rate        | 0.0003      |
|    loss                 | 259         |
|    n_updates            | 170         |
|    policy_gradient_loss | 0.011       |
|    value_loss           | 580         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.72        |
|    ep_rew_mean          | -2.74       |
| time/                   |             |
|    fps                  | 296         |
|    iterations           | 19          |
|    time_elapsed         | 131         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.015921898 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.0318      |
|    learning_rate        | 0.0003      |
|    loss                 | 511         |
|    n_updates            | 180         |
|    policy_gradient_loss | 0.0236      |
|    value_loss           | 946         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.9        |
|    ep_rew_mean          | 5.23        |
| time/                   |             |
|    fps                  | 297         |
|    iterations           | 20          |
|    time_elapsed         | 137         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.009584963 |
|    clip_fraction        | 0.0903      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | 0.00485     |
|    learning_rate        | 0.0003      |
|    loss                 | 251         |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.000467   |
|    value_loss           | 460         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.43        |
|    ep_rew_mean          | 4.61        |
| time/                   |             |
|    fps                  | 300         |
|    iterations           | 21          |
|    time_elapsed         | 142         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.023050928 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | -0.00117    |
|    learning_rate        | 0.0003      |
|    loss                 | 281         |
|    n_updates            | 200         |
|    policy_gradient_loss | 0.00397     |
|    value_loss           | 566         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.2        |
|    ep_rew_mean          | 10.8        |
| time/                   |             |
|    fps                  | 307         |
|    iterations           | 22          |
|    time_elapsed         | 146         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.026885282 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.0168      |
|    learning_rate        | 0.0003      |
|    loss                 | 338         |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00332    |
|    value_loss           | 651         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13          |
|    ep_rew_mean          | -0.731      |
| time/                   |             |
|    fps                  | 313         |
|    iterations           | 23          |
|    time_elapsed         | 150         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.024244213 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.5        |
|    explained_variance   | 0.0336      |
|    learning_rate        | 0.0003      |
|    loss                 | 422         |
|    n_updates            | 220         |
|    policy_gradient_loss | 0.00361     |
|    value_loss           | 847         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 9.92      |
|    ep_rew_mean          | 6.62      |
| time/                   |           |
|    fps                  | 318       |
|    iterations           | 24        |
|    time_elapsed         | 154       |
|    total_timesteps      | 49152     |
| train/                  |           |
|    approx_kl            | 0.0246726 |
|    clip_fraction        | 0.145     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.46     |
|    explained_variance   | -0.0283   |
|    learning_rate        | 0.0003    |
|    loss                 | 235       |
|    n_updates            | 230       |
|    policy_gradient_loss | 0.0122    |
|    value_loss           | 579       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.5        |
|    ep_rew_mean          | 1.33        |
| time/                   |             |
|    fps                  | 322         |
|    iterations           | 25          |
|    time_elapsed         | 158         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.021360759 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.0198      |
|    learning_rate        | 0.0003      |
|    loss                 | 457         |
|    n_updates            | 240         |
|    policy_gradient_loss | 0.0113      |
|    value_loss           | 860         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19          |
|    ep_rew_mean          | 1.52        |
| time/                   |             |
|    fps                  | 326         |
|    iterations           | 26          |
|    time_elapsed         | 163         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.021804037 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.0238      |
|    learning_rate        | 0.0003      |
|    loss                 | 366         |
|    n_updates            | 250         |
|    policy_gradient_loss | 0.00526     |
|    value_loss           | 637         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.7        |
|    ep_rew_mean          | -1.71       |
| time/                   |             |
|    fps                  | 331         |
|    iterations           | 27          |
|    time_elapsed         | 166         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.018189117 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.45       |
|    explained_variance   | -0.00772    |
|    learning_rate        | 0.0003      |
|    loss                 | 187         |
|    n_updates            | 260         |
|    policy_gradient_loss | 0.0112      |
|    value_loss           | 407         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.3         |
|    ep_rew_mean          | 8.77         |
| time/                   |              |
|    fps                  | 336          |
|    iterations           | 28           |
|    time_elapsed         | 170          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0043368023 |
|    clip_fraction        | 0.109        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.48        |
|    explained_variance   | 0.00362      |
|    learning_rate        | 0.0003       |
|    loss                 | 213          |
|    n_updates            | 270          |
|    policy_gradient_loss | 0.0054       |
|    value_loss           | 456          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.9        |
|    ep_rew_mean          | 3.07        |
| time/                   |             |
|    fps                  | 340         |
|    iterations           | 29          |
|    time_elapsed         | 174         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.009147786 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.5        |
|    explained_variance   | 0.0113      |
|    learning_rate        | 0.0003      |
|    loss                 | 354         |
|    n_updates            | 280         |
|    policy_gradient_loss | 0.0184      |
|    value_loss           | 739         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.3         |
|    ep_rew_mean          | 3.96         |
| time/                   |              |
|    fps                  | 344          |
|    iterations           | 30           |
|    time_elapsed         | 178          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0058882115 |
|    clip_fraction        | 0.0483       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.44        |
|    explained_variance   | 0.0269       |
|    learning_rate        | 0.0003       |
|    loss                 | 229          |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00104     |
|    value_loss           | 496          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.2        |
|    ep_rew_mean          | 4.65        |
| time/                   |             |
|    fps                  | 346         |
|    iterations           | 31          |
|    time_elapsed         | 183         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.011375759 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | 0.0223      |
|    learning_rate        | 0.0003      |
|    loss                 | 202         |
|    n_updates            | 300         |
|    policy_gradient_loss | 0.00408     |
|    value_loss           | 408         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18          |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 351         |
|    iterations           | 32          |
|    time_elapsed         | 186         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.016378328 |
|    clip_fraction        | 0.0907      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.0313      |
|    learning_rate        | 0.0003      |
|    loss                 | 180         |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00107    |
|    value_loss           | 374         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11          |
|    ep_rew_mean          | 1.67        |
| time/                   |             |
|    fps                  | 353         |
|    iterations           | 33          |
|    time_elapsed         | 191         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.020233832 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | 0.0172      |
|    learning_rate        | 0.0003      |
|    loss                 | 229         |
|    n_updates            | 320         |
|    policy_gradient_loss | 0.00534     |
|    value_loss           | 501         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.5        |
|    ep_rew_mean          | -1.58       |
| time/                   |             |
|    fps                  | 356         |
|    iterations           | 34          |
|    time_elapsed         | 195         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.117116764 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.00254     |
|    learning_rate        | 0.0003      |
|    loss                 | 309         |
|    n_updates            | 330         |
|    policy_gradient_loss | 0.0118      |
|    value_loss           | 647         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.4        |
|    ep_rew_mean          | 14.9        |
| time/                   |             |
|    fps                  | 360         |
|    iterations           | 35          |
|    time_elapsed         | 198         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.018201375 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.0311      |
|    learning_rate        | 0.0003      |
|    loss                 | 149         |
|    n_updates            | 340         |
|    policy_gradient_loss | -2.09e-05   |
|    value_loss           | 313         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.8        |
|    ep_rew_mean          | 19.1        |
| time/                   |             |
|    fps                  | 363         |
|    iterations           | 36          |
|    time_elapsed         | 202         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.015199428 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.0212      |
|    learning_rate        | 0.0003      |
|    loss                 | 372         |
|    n_updates            | 350         |
|    policy_gradient_loss | 0.0163      |
|    value_loss           | 750         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.3        |
|    ep_rew_mean          | 11.2        |
| time/                   |             |
|    fps                  | 365         |
|    iterations           | 37          |
|    time_elapsed         | 207         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.009775004 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.0284      |
|    learning_rate        | 0.0003      |
|    loss                 | 468         |
|    n_updates            | 360         |
|    policy_gradient_loss | 0.0387      |
|    value_loss           | 916         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.4       |
|    ep_rew_mean          | 5.14       |
| time/                   |            |
|    fps                  | 366        |
|    iterations           | 38         |
|    time_elapsed         | 212        |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.04998396 |
|    clip_fraction        | 0.161      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.42      |
|    explained_variance   | -0.00377   |
|    learning_rate        | 0.0003     |
|    loss                 | 280        |
|    n_updates            | 370        |
|    policy_gradient_loss | 0.0231     |
|    value_loss           | 581        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 14.6       |
|    ep_rew_mean          | 6.9        |
| time/                   |            |
|    fps                  | 369        |
|    iterations           | 39         |
|    time_elapsed         | 216        |
|    total_timesteps      | 79872      |
| train/                  |            |
|    approx_kl            | 0.04380246 |
|    clip_fraction        | 0.173      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.43      |
|    explained_variance   | 0.0257     |
|    learning_rate        | 0.0003     |
|    loss                 | 211        |
|    n_updates            | 380        |
|    policy_gradient_loss | 0.0192     |
|    value_loss           | 417        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16          |
|    ep_rew_mean          | 11.1        |
| time/                   |             |
|    fps                  | 370         |
|    iterations           | 40          |
|    time_elapsed         | 221         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.009553993 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.0573      |
|    learning_rate        | 0.0003      |
|    loss                 | 349         |
|    n_updates            | 390         |
|    policy_gradient_loss | 0.0311      |
|    value_loss           | 697         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.4        |
|    ep_rew_mean          | 7.25        |
| time/                   |             |
|    fps                  | 372         |
|    iterations           | 41          |
|    time_elapsed         | 225         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.030487899 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.0425      |
|    learning_rate        | 0.0003      |
|    loss                 | 379         |
|    n_updates            | 400         |
|    policy_gradient_loss | 0.00559     |
|    value_loss           | 746         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.1        |
|    ep_rew_mean          | 13.6        |
| time/                   |             |
|    fps                  | 375         |
|    iterations           | 42          |
|    time_elapsed         | 229         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.012354728 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.0551      |
|    learning_rate        | 0.0003      |
|    loss                 | 178         |
|    n_updates            | 410         |
|    policy_gradient_loss | 0.00507     |
|    value_loss           | 356         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 19.8       |
|    ep_rew_mean          | 12.4       |
| time/                   |            |
|    fps                  | 378        |
|    iterations           | 43         |
|    time_elapsed         | 232        |
|    total_timesteps      | 88064      |
| train/                  |            |
|    approx_kl            | 0.01771948 |
|    clip_fraction        | 0.222      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.39      |
|    explained_variance   | 0.008      |
|    learning_rate        | 0.0003     |
|    loss                 | 392        |
|    n_updates            | 420        |
|    policy_gradient_loss | 0.0149     |
|    value_loss           | 728        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.5         |
|    ep_rew_mean          | 2.6          |
| time/                   |              |
|    fps                  | 381          |
|    iterations           | 44           |
|    time_elapsed         | 236          |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0147330165 |
|    clip_fraction        | 0.144        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | -0.0185      |
|    learning_rate        | 0.0003       |
|    loss                 | 305          |
|    n_updates            | 430          |
|    policy_gradient_loss | 0.00571      |
|    value_loss           | 616          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23          |
|    ep_rew_mean          | 7.76        |
| time/                   |             |
|    fps                  | 383         |
|    iterations           | 45          |
|    time_elapsed         | 240         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.023321113 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.0133      |
|    learning_rate        | 0.0003      |
|    loss                 | 136         |
|    n_updates            | 440         |
|    policy_gradient_loss | 0.00957     |
|    value_loss           | 295         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.6         |
|    ep_rew_mean          | 7.49         |
| time/                   |              |
|    fps                  | 385          |
|    iterations           | 46           |
|    time_elapsed         | 244          |
|    total_timesteps      | 94208        |
| train/                  |              |
|    approx_kl            | 0.0124310125 |
|    clip_fraction        | 0.122        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.0111       |
|    learning_rate        | 0.0003       |
|    loss                 | 261          |
|    n_updates            | 450          |
|    policy_gradient_loss | 0.00431      |
|    value_loss           | 558          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.3        |
|    ep_rew_mean          | 3.23        |
| time/                   |             |
|    fps                  | 388         |
|    iterations           | 47          |
|    time_elapsed         | 247         |
|    total_timesteps      | 96256       |
| train/                  |             |
|    approx_kl            | 0.013998821 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.0233      |
|    learning_rate        | 0.0003      |
|    loss                 | 323         |
|    n_updates            | 460         |
|    policy_gradient_loss | 0.00144     |
|    value_loss           | 648         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 15.7       |
|    ep_rew_mean          | 9.48       |
| time/                   |            |
|    fps                  | 390        |
